meter_id,date,kwh
14676236,2020-09-30 00:00:00,14.35977487
14676236,2020-10-01 00:00:00,12.7534515
14676236,2020-10-02 00:00:00,19.9044879
14676236,2020-10-03 00:00:00,21.61941084
14676236,2020-10-04 00:00:00,23.90015873
14676236,2020-10-05 00:00:00,21.3370924
14676236,2020-10-06 00:00:00,24.8582774
14676236,2020-10-07 00:00:00,37.87732379
14676236,2020-10-08 00:00:00,27.16454604
14676236,2020-10-09 00:00:00,27.28751066
14676236,2020-10-10 00:00:00,39.21313008
14676236,2020-10-11 00:00:00,43.65690264
14676236,2020-10-12 00:00:00,25.91183939
14676236,2020-10-13 00:00:00,29.7585318
14676236,2020-10-14 00:00:00,32.86110757
14676236,2020-10-15 00:00:00,38.76938559
14676236,2020-10-16 00:00:00,27.90969528
14676236,2020-10-17 00:00:00,30.66748367
14676236,2020-10-18 00:00:00,31.38585351
14676236,2020-10-19 00:00:00,29.92981076
14676236,2020-10-20 00:00:00,28.70289644
14676236,2020-10-21 00:00:00,29.20553236
14676236,2020-10-22 00:00:00,26.69240942
14676236,2020-10-23 00:00:00,33.14741651
14676236,2020-10-24 00:00:00,32.87254016
14676236,2020-10-25 00:00:00,34.67037131
14676236,2020-10-26 00:00:00,33.99473348
14676236,2020-10-27 00:00:00,38.77661278
14676236,2020-10-28 00:00:00,43.47470979
14676236,2020-10-29 00:00:00,41.56195262
14676236,2020-10-30 00:00:00,43.06190838
14676236,2020-10-31 00:00:00,42.22390446
14676236,2020-11-01 00:00:00,43.08997456
14676236,2020-11-02 00:00:00,40.45867328
14676236,2020-11-03 00:00:00,43.17848671
14676236,2020-11-04 00:00:00,42.93097523
14676236,2020-11-05 00:00:00,50.90693755
14676236,2020-11-06 00:00:00,47.49106767
14676236,2020-11-07 00:00:00,45.39413835
14676236,2020-11-08 00:00:00,41.95799082
14676236,2020-11-09 00:00:00,41.01508168
14676236,2020-11-10 00:00:00,52.61188201
14676236,2020-11-11 00:00:00,48.95112079
14676236,2020-11-12 00:00:00,48.79721298
14676236,2020-11-13 00:00:00,43.16937121
14676236,2020-11-14 00:00:00,56.11492778
14676236,2020-11-15 00:00:00,57.21987911
14676236,2020-11-16 00:00:00,51.89087345
14676236,2020-11-17 00:00:00,52.95765468
14676236,2020-11-18 00:00:00,53.86795125
14676236,2020-11-19 00:00:00,52.93283524
14676236,2020-11-20 00:00:00,52.24624775
14676236,2020-11-21 00:00:00,53.2335985
14676236,2020-11-22 00:00:00,52.72358509
14676236,2020-11-23 00:00:00,54.99660684
14676236,2020-11-24 00:00:00,61.050749
14676236,2020-11-25 00:00:00,43.20748035
14676236,2020-11-26 00:00:00,55.07371875
14676236,2020-11-27 00:00:00,56.8129157
14676236,2020-11-28 00:00:00,59.689255
14676236,2020-11-29 00:00:00,55.40128089
14676236,2020-11-30 00:00:00,48.62405919
14676236,2020-12-01 00:00:00,55.1770736
14676236,2020-12-02 00:00:00,63.29325678
14676236,2020-12-03 00:00:00,48.1984147
14676236,2020-12-04 00:00:00,55.54406987
14676236,2020-12-05 00:00:00,49.85755076
14676236,2020-12-06 00:00:00,50.58668549
14676236,2020-12-07 00:00:00,47.50232516
14676236,2020-12-08 00:00:00,48.80005951
14676236,2020-12-09 00:00:00,55.05257575
14676236,2020-12-10 00:00:00,51.4325089
14676236,2020-12-11 00:00:00,59.61238461
14676236,2020-12-12 00:00:00,58.4560101
14676236,2020-12-13 00:00:00,57.8128834
14676236,2020-12-14 00:00:00,65.28087125
14676236,2020-12-15 00:00:00,58.96373713
14676236,2020-12-16 00:00:00,57.69643525
14676236,2020-12-17 00:00:00,52.44711814
14676236,2020-12-18 00:00:00,54.66717952
14676236,2020-12-19 00:00:00,53.28172041
14676236,2020-12-20 00:00:00,59.49761939
14676236,2020-12-21 00:00:00,45.43997463
14676236,2020-12-22 00:00:00,52.35548762
14676236,2020-12-23 00:00:00,48.99591976
14676236,2020-12-24 00:00:00,55.47912598
14676236,2020-12-25 00:00:00,56.21019726
14676236,2020-12-26 00:00:00,64.40587082
14676236,2020-12-27 00:00:00,59.25478992
14676236,2020-12-28 00:00:00,51.87693409
14676236,2020-12-29 00:00:00,56.88858731
14676236,2020-12-30 00:00:00,51.34523184
14676236,2020-12-31 00:00:00,52.58957823
14676236,2021-01-01 00:00:00,60.1398716
14676236,2021-01-02 00:00:00,57.06845327
14676236,2021-01-03 00:00:00,51.22292747
14676236,2021-01-04 00:00:00,53.03927236
14676236,2021-01-05 00:00:00,55.2732805
14676236,2021-01-06 00:00:00,50.80543074
14676236,2021-01-07 00:00:00,53.8181097
14676236,2021-01-08 00:00:00,59.80341938
14676236,2021-01-09 00:00:00,65.92595237
14676236,2021-01-10 00:00:00,62.37734694
14676236,2021-01-11 00:00:00,50.03917118
14676236,2021-01-12 00:00:00,59.83283016
14676236,2021-01-13 00:00:00,56.09782564
14676236,2021-01-14 00:00:00,54.46646284
14676236,2021-01-15 00:00:00,58.74642107
14676236,2021-01-16 00:00:00,45.81962697
14676236,2021-01-17 00:00:00,49.83957048
14676236,2021-01-18 00:00:00,54.19061677
14676236,2021-01-19 00:00:00,41.40480628
14676236,2021-01-20 00:00:00,52.70495173
14676236,2021-01-21 00:00:00,47.69526973
14676236,2021-01-22 00:00:00,50.9050103
14676236,2021-01-23 00:00:00,45.10371598
14676236,2021-01-24 00:00:00,52.67146877
14676236,2021-01-25 00:00:00,54.32248772
14676236,2021-01-26 00:00:00,50.56278438
14676236,2021-01-27 00:00:00,50.19985623
14676236,2021-01-28 00:00:00,46.97379349
14676236,2021-01-29 00:00:00,42.30427493
14676236,2021-01-30 00:00:00,43.94344683
14676236,2021-01-31 00:00:00,41.81891046
14676236,2021-02-01 00:00:00,40.38828317
14676236,2021-02-02 00:00:00,41.80052865
14676236,2021-02-03 00:00:00,34.59757635
14676236,2021-02-04 00:00:00,40.89294565
14676236,2021-02-05 00:00:00,48.86526695
14676236,2021-02-06 00:00:00,42.00908596
14676236,2021-02-07 00:00:00,41.93927836
14676236,2021-02-08 00:00:00,45.53147776
14676236,2021-02-09 00:00:00,52.53388989
14676236,2021-02-10 00:00:00,50.31726612
14676236,2021-02-11 00:00:00,56.16319199
14676236,2021-02-12 00:00:00,51.75922503
14676236,2021-02-13 00:00:00,49.08393158
14676236,2021-02-14 00:00:00,44.9592019
14676236,2021-02-15 00:00:00,48.81384726
14676236,2021-02-16 00:00:00,40.30400785
14676236,2021-02-17 00:00:00,35.24812552
14676236,2021-02-18 00:00:00,46.98318273
14676236,2021-02-19 00:00:00,39.65585088
14676236,2021-02-20 00:00:00,44.27338641
14676236,2021-02-21 00:00:00,47.39753237
14676236,2021-02-22 00:00:00,37.85637455
14676236,2021-02-23 00:00:00,40.42565935
14676236,2021-02-24 00:00:00,39.72344452
14676236,2021-02-25 00:00:00,45.03143503
14676236,2021-02-26 00:00:00,47.93212758
14676236,2021-02-27 00:00:00,48.77255121
14676236,2021-02-28 00:00:00,48.08765851
14676236,2021-03-01 00:00:00,42.04356752
14676236,2021-03-02 00:00:00,37.06809481
14676236,2021-03-03 00:00:00,46.16699188
14676236,2021-03-04 00:00:00,42.13440023
14676236,2021-03-05 00:00:00,45.32002366
14676236,2021-03-06 00:00:00,48.18776709
14676236,2021-03-07 00:00:00,44.88101535
14676236,2021-03-08 00:00:00,49.74377016
14676236,2021-03-09 00:00:00,45.30612082
14676236,2021-03-10 00:00:00,47.86965716
14676236,2021-03-11 00:00:00,45.93270197
14676236,2021-03-12 00:00:00,48.93241719
14676236,2021-03-13 00:00:00,53.60532989
14676236,2021-03-14 00:00:00,57.33142167
14676236,2021-03-15 00:00:00,52.70830928
14676236,2021-03-16 00:00:00,52.79014248
14676236,2021-03-17 00:00:00,49.99477175
14676236,2021-03-18 00:00:00,49.85987355
14676236,2021-03-19 00:00:00,54.90436257
14676236,2021-03-20 00:00:00,45.48341234
14676236,2021-03-21 00:00:00,46.99344448
14676236,2021-03-22 00:00:00,46.37145912
14676236,2021-03-23 00:00:00,40.99944574
14676236,2021-03-24 00:00:00,50.20088647
14676236,2021-03-25 00:00:00,55.28174377
14676236,2021-03-26 00:00:00,51.62877194
14676236,2021-03-27 00:00:00,50.64473218
14676236,2021-03-28 00:00:00,52.71058108
14676236,2021-03-29 00:00:00,54.35764372
14676236,2021-03-30 00:00:00,50.32744944
14676236,2021-03-31 00:00:00,54.18916761
14676236,2021-04-01 00:00:00,49.78491788
14676236,2021-04-02 00:00:00,48.02135117
14676236,2021-04-03 00:00:00,47.72788481
14676236,2021-04-04 00:00:00,42.09384793
14676236,2021-04-05 00:00:00,41.08369935
14676236,2021-04-06 00:00:00,42.24322569
14676236,2021-04-07 00:00:00,45.63350712
14676236,2021-04-08 00:00:00,49.57097299
14676236,2021-04-09 00:00:00,39.32988885
14676236,2021-04-10 00:00:00,44.03569509
14676236,2021-04-11 00:00:00,36.03928135
14676236,2021-04-12 00:00:00,41.52755219
14676236,2021-04-13 00:00:00,40.29647625
14676236,2021-04-14 00:00:00,33.13769958
14676236,2021-04-15 00:00:00,44.76781578
14676236,2021-04-16 00:00:00,41.67184726
